"","enriched","depleted","gene_id","GeneSymbol_Mouse","uniprot_protein_name","coronalIshAvailable","coronalIshConsistent","GeneSymbol_Human","EnrichedVSDepleted"
"1","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000032735","Ablim3","Actin-binding LIM protein 3",1,1,"ABLIM3","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"2","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000039166","Akap7","A-kinase anchor protein 7 isoform alpha; A-kinase anchor protein 7 isoform gamma",0,0,"AKAP7","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"3","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000053199","Arhgap20","Rho GTPase-activating protein 20",0,0,"ARHGAP20","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"4","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000020423","Btg2","Protein BTG2",1,0,"BTG2","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"5","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000036907","C1ql2","Complement C1q-like protein 2",1,1,"C1QL2","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"6","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000029761","Cald1","-",0,0,"CALD1","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"7","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000020810","Cygb","Cytoglobin",1,1,"CYGB","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"8","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000034731","Dgkh","Diacylglycerol kinase",1,1,"DGKH","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"9","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000038608","Dock10","-",1,1,"DOCK10","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"10","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000009216","Fam163b","Protein FAM163B",1,1,"FAM163B","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"11","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000052942","Glis3","Zinc finger protein GLIS3",0,0,"GLIS3","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"12","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000026185","Igfbp5","Insulin-like growth factor-binding protein 5",1,1,"IGFBP5","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"13","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000022514","Il1rap","Interleukin-1 receptor accessory protein",1,1,"IL1RAP","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"14","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000052684","Jun","Transcription factor AP-1",0,0,"JUN","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"15","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000021338","Lrrc16a","Leucine-rich repeat-containing protein 16A",1,1,"LRRC16A","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"16","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000052581","Lrrtm4","Leucine-rich repeat transmembrane neuronal protein 4",0,0,"LRRTM4","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"17","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000031925","Maml2","-",0,0,"MAML2","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"18","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000069662","Marcks","Myristoylated alanine-rich C-kinase substrate",0,0,"MARCKS","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"19","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000005583","Mef2c","Myocyte-specific enhancer factor 2C",1,1,"MEF2C","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"20","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000040998","Npnt","Nephronectin",1,1,"NPNT","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"21","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000036422","Pcdh8","Protocadherin-8",1,0,"PCDH8","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"22","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000019990","Pde7b","cAMP-specific 3',5'-cyclic phosphodiesterase 7B",1,1,"PDE7B","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"23","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000040430","Pitpnc1","Cytoplasmic phosphatidylinositol transfer protein 1",1,1,"PITPNC1","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"24","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000029406","Pitpnm2","Membrane-associated phosphatidylinositol transfer protein 2",1,1,"PITPNM2","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"25","dg_d-dg_v","ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000031557","Plekha2","Pleckstrin homology domain-containing family A member 2",1,1,"PLEKHA2","dg_d-dg_v__VS__ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v"
